name,category,location,area_sqft,price,link,latitude,longitude,nearestMRT,distance
The Clift,Apartment,21 Mccallum Street · D1,495,1200000,https://www.99.co/singapore/sale/property/the-clift-condo-RnXsekLeNWo4gpUC2PHo8R,1.2794777,103.8472601,Telok Ayer,0.0030507133673975317
Alana,Terraced House,Sunrise Terrace · D28,2756,2363694,https://www.99.co/singapore/sale/property/sunrise-terrace-landed-aFBoMEvKnUfvipy5EDMuhL,1.3886757,103.8555179,Yio Chu Kang,0.012664006285927388
149 Woodlands Street 13,HDB 4 Rooms,D25,1001,375000,https://www.99.co/singapore/sale/property/149-woodlands-street-13-hdb-VweqBBJbSuBkfJ7XA6nSra,1.4358059,103.773,Marsiling,0.0034492576157823225
18 Marsiling Lane,HDB 3 Rooms,D25,764,240000,https://www.99.co/singapore/sale/property/18-marsiling-lane-hdb-SfVqxvn5VfSJ2jcseQKX7f,1.443392,103.7778664,Woodlands,0.010693446374767473
123 Marsiling Rise,HDB 5 Rooms,D25,1302,398000,https://www.99.co/singapore/sale/property/123-marsiling-rise-hdb-WzHPGyVpvWr3kr8ucuH2xC,1.4391816,103.7791113,Woodlands,0.007620646691717013
899C Woodlands Drive 50,HDB 5 Rooms,D25,1270,420000,https://www.99.co/singapore/sale/property/899c-woodlands-drive-50-hdb-oyN9DYCWeke5JAFEvLGd9C,1.4365117,103.7954998,Admiralty,0.006831260740156203
142 Marsiling Road,HDB 5 Rooms,D25,1442,550000,https://www.99.co/singapore/sale/property/142-marsiling-road-hdb-4HSqnGfjkNTzPwW6sEELtM,1.4369917,103.7771194,Marsiling,0.005330419767707015
626 Woodlands Avenue 6,HDB 4 Rooms,D25,969,318000,https://www.99.co/singapore/sale/property/626-woodlands-avenue-6-hdb-WtzFK7N2kfpXBH8fMPgdma,1.4336921,103.8004802,Admiralty,0.006937712598544612
162 Woodlands Street 13,HDB 5 Rooms,D25,1356,450000,https://www.99.co/singapore/sale/property/162-woodlands-street-13-hdb-N2L2jDxKnzbvhXdSmeHnXY,1.4329786,103.7732263,Marsiling,0.0010247809522089505
515 Woodlands Drive 14,HDB 4 Rooms,D25,1152,430000,https://www.99.co/singapore/sale/property/515-woodlands-drive-14-hdb-SSGCeDddiHage8xwZfvSrS,1.4347819,103.7903386,Woodlands,0.004495989210399118
12C Marsiling Lane,HDB 4 Rooms,Singapore 733012 · D25,1001,408000,https://www.99.co/singapore/sale/property/12c-marsiling-lane-hdb-pTmnbqoFcnDmRYuX8dwptK,1.4409923,103.7777155,Marsiling,0.009152999141807101
The Nautical,Condo,93 Jalan Sendudok · D27,786,818000,https://www.99.co/singapore/sale/property/the-nautical-condo-ViFLKq9TtXf8eLvmH8h3vY,1.4432053,103.8248135,Sembawang,0.007558436182838379
729 Woodlands Circle,HDB 4 Rooms,D25,980,328000,https://www.99.co/singapore/sale/property/729-woodlands-circle-hdb-zRMxw2mYAmzZuxBLTtECrh,1.4425116,103.7985786,Admiralty,0.003047879336524591
12C Marsiling Lane,HDB 4 Rooms,Singapore 733012 · D25,1001,396000,https://www.99.co/singapore/sale/property/12c-marsiling-lane-hdb-5xypMiLBw4NmrxktcLgf2h,1.4409923,103.7777155,Marsiling,0.009152999141807101
368 Woodlands Avenue 1,HDB 4 Rooms,D25,1130,425000,https://www.99.co/singapore/sale/property/368-woodlands-avenue-1-hdb-MEdmt7ZHxmgY7UJnxHqKef,1.4331895,103.7867168,Woodlands,0.0037658487303662167
138 Marsiling Road,HDB Executive,D25,1862,630000,https://www.99.co/singapore/sale/property/138-marsiling-road-hdb-eKTK9fa25MWATDjT39biyF,1.4380917,103.7773005,Marsiling,0.006362577563370579
Tree House,Condo,60 Chestnut Avenue · D23,807,980000,https://www.99.co/singapore/sale/property/tree-house-condo-CTh3du8BMJ4grkszUHeLW5,1.3700787,103.7764219,Bangkit,0.010841273774332909
Northoaks,Condo,20 Woodlands Crescent · D25,1949,1150000,https://www.99.co/singapore/sale/property/northoaks-condo-d8iTzyZa7M5hFNs9fDnHzU,1.445167,103.806391,Admiralty,0.007085420637480586
765 Woodlands Circle,HDB 4 Rooms,D25,969,325000,https://www.99.co/singapore/sale/property/765-woodlands-circle-hdb-hCpUWa3M2QWvxFd4viwNzn,1.4459555,103.7966544,Admiralty,0.006863343099398847
Mi Casa,Condo,325 Choa Chu Kang Avenue 3 · D23,1259,1198000,https://www.99.co/singapore/sale/property/mi-casa-condo-7B8ZDGeVFhZjNwiJuHjV56,1.3839054,103.747689,Choa Chu Kang,0.0036635946186735833
747 Woodlands Circle,HDB 4 Rooms,D25,1076,325000,https://www.99.co/singapore/sale/property/747-woodlands-circle-hdb-x3WZbJwDi6XAcPtE5JEd6D,1.4431941,103.7950471,Admiralty,0.006454360297501391
741 Woodlands Circle,HDB 4 Rooms,D25,1098,323000,https://www.99.co/singapore/sale/property/741-woodlands-circle-hdb-sGkDxYjY6SgNLioQdf5ZPd,1.4443636,103.795862,Admiralty,0.0063313648741817625
625A Woodlands Drive 52,HDB 5 Rooms,D25,1313,408000,https://www.99.co/singapore/sale/property/625a-woodlands-drive-52-hdb-Pr7hrVDdXvf27vXcyyJcEb,1.4335839,103.8001633,Admiralty,0.0070744333320777305
703 Woodlands Drive 40,HDB 4 Rooms,D25,1076,348000,https://www.99.co/singapore/sale/property/703-woodlands-drive-40-hdb-a9eaTzeL2BuMDQUCnZigdJ,1.4409939,103.7964137,Admiralty,0.004565118339101007
Tree House,Condo,60 Chestnut Avenue · D23,807,980000,https://www.99.co/singapore/sale/property/tree-house-condo-iaKT7L9NLZSryipNkUTvUF,1.3700787,103.7764219,Bangkit,0.010841273774332909
401 Admiralty Link,HDB 4 Rooms,D27,989,332000,https://www.99.co/singapore/sale/property/401-admiralty-link-hdb-ygWpmkuSM8fyyB9t4YTRDL,1.4542991,103.8156035,Sembawang,0.006861395593467349
Parc Rosewood,Condo,87 Rosewood Drive · D25,829,895000,https://www.99.co/singapore/sale/property/parc-rosewood-condo-Ab3uaiZ54orPm35Yj39hdA,1.4278981,103.7853933,Woodlands,0.009098840379411166
123 Marsiling Rise,HDB 4 Rooms,D25,1055,318000,https://www.99.co/singapore/sale/property/123-marsiling-rise-hdb-h33PauGqdDUVFFpFn82xqN,1.4391816,103.7791113,Woodlands,0.007620646691717013
689A Woodlands Drive 75,HDB 5 Rooms,D25,1184,385000,https://www.99.co/singapore/sale/property/689a-woodlands-drive-75-hdb-mA9uf6w8xkTz2LbaTyFmkj,1.4445088,103.8079963,Admiralty,0.008040271960572208
648 Woodlands Ring Road,HDB Executive,D25,1517,580000,https://www.99.co/singapore/sale/property/648-woodlands-ring-road-hdb-YqBcjMtAPWvHzJGMu4zDa4,1.4382364,103.8014763,Admiralty,0.002431420802741058
12C Marsiling Lane,HDB 4 Rooms,Singapore 733012 · D25,1001,420000,https://www.99.co/singapore/sale/property/12c-marsiling-lane-hdb-M5TiHJdthCQnbWBgwq5f2b,1.4409923,103.7777155,Marsiling,0.009152999141807101
317 Woodlands Street 31,HDB 3 Rooms,D25,786,278000,https://www.99.co/singapore/sale/property/317-woodlands-street-31-hdb-A5RLnnoofhCeHFPurmbqq6,1.4318593,103.776214,Marsiling,0.002168857565618823
587 Woodlands Drive 16,HDB 5 Rooms,D25,1195,380000,https://www.99.co/singapore/sale/property/587-woodlands-drive-16-hdb-fuR67xWkQdeWBLa3Gb6Kqe,1.4286225,103.7954546,Woodlands,0.012299526059978019
171 Woodlands Street 11,HDB 4 Rooms,D25,980,350000,https://www.99.co/singapore/sale/property/171-woodlands-street-11-hdb-7T8GXXHg7yTWMBrmx7bEig,1.4339862,103.7764856,Marsiling,0.002728641891116709
429 Woodlands Street 41,HDB 4 Rooms,D25,904,299000,https://www.99.co/singapore/sale/property/429-woodlands-street-41-hdb-QpVYwtaidtgKnJjprFZ8LJ,1.4265974,103.7725926,Marsiling,0.0061632220282939
Crane Road,Conservation House,D15,1460,3500000,https://www.99.co/singapore/sale/property/crane-road-landed-ESfFRQ7qXQd76zi8euPyj9,1.3125702,103.899076,Eunos,0.00812460674372185
Aspen Linq,Condo,15 Institution Hill · D9,711,1550000,https://www.99.co/singapore/sale/property/aspen-linq-condo-6re4jzP7XoSP3G4QWE8zNE,1.2953011,103.8399533,Somerset,0.005530176941110024
409B Fernvale Road,HDB 4 Rooms,Singapore 792409 · D28,1025,468000,https://www.99.co/singapore/sale/property/409b-fernvale-road-hdb-4M7CNrDaE6bPWfAreJBudh,1.3896184,103.8768457,Fernvale,0.0023693836434812835
The Residences At W Singapore Sentosa Cove,Condo,1 Ocean Way · D4,1238,3500000,https://www.99.co/singapore/sale/property/the-residences-at-w-singapore-sentosa-cove-condo-okfSpP8vGi9zWaKqsbcTxh,1.2462983,103.8423394,HarbourFront,0.028996611157333787
7 Draycott Drive,Condo,7 Draycott Drive · D10,1507,3800000,https://www.99.co/singapore/sale/property/7-draycott-drive-condo-ButyCdsBacivEQLoguqrx3,1.3090109,103.8304431,Orchard,0.005178318516664379
Gambier Court,Condo / Apt,60 Kim Yam Road · D9,3000,3800000,https://www.99.co/singapore/sale/property/gambier-court-condo-HZyXEJq4mGB7BN4rTWDwka,1.2928367,103.8398143,Fort Canning,0.005000768225985287
