name,category,location,area_sqft,price,latitude,longitude,nearestMRT,distance
Park Colonial,Condo,2 Woodleigh Lane · D13,980,1700100,1.3190408,103.8281809,Stevens,0.002418993385694776
Parc Botannia,Condo,10 Fernvale Street · D28,592,841020,1.397794,103.874894,Thanggam,0.0006749851850287206
Martin Modern,Condo,8 Martin Place · D9,1399,3100600,1.293264,103.837861,Fort Canning,0.006996805428907429
Martin Modern,Condo,8 Martin Place · D9,1733,4843500,1.293264,103.837861,Fort Canning,0.006996805428907429
The Tapestry,Condo,59 Tampines Street 86 · D18,990,1100150,1.3534955,103.9291905,Tampines West,0.011976385692270114
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,1076,1595003,1.3661523,103.872814,Kovan,0.01371927501655056
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,1076,1595000,1.3661523,103.872814,Kovan,0.01371927501655056
Amber 45,Condo,45 Amber Road · D15,614,1429300,1.302636,103.901821,Dakota,0.014230991708241837
Park Colonial,Condo,2 Woodleigh Lane · D13,463,787100,1.3190408,103.8281809,Stevens,0.002418993385694776
Riverfront Residences,Condo,43 Hougang Avenue 7 · D19,463,578400,1.371715,103.900472,Hougang,0.00793738445898828
Martin Modern,Condo,8 Martin Place · D9,1012,2850300,1.293264,103.837861,Fort Canning,0.006996805428907429
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,2067,2355004,1.3661523,103.872814,Kovan,0.01371927501655056
Riverfront Residences,Condo,43 Hougang Avenue 7 · D19,1625,1860100,1.371715,103.900472,Hougang,0.00793738445898828
Amber 45,Condo,45 Amber Road · D15,1346,2829012,1.302636,103.901821,Dakota,0.014230991708241837
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,893,1198030,1.3747664,103.9034487,Kangkar,0.009221088770855658
Park Colonial,Condo,2 Woodleigh Lane · D13,1712,3000200,1.3190408,103.8281809,Stevens,0.002418993385694776
Parc Botannia,Condo,18 Fernvale Street · D28,1249,1540050,1.397794,103.874894,Thanggam,0.0006749851850287206
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,893,1200060,1.3747664,103.9034487,Kangkar,0.009221088770855658
Parc Botannia,Condo,10 Fernvale Street · D28,506,640010,1.397794,103.874894,Thanggam,0.0006749851850287206
Kingsford Waterbay,Condo,52 Upper Serangoon View · D19,893,1200050,1.3747664,103.9034487,Kangkar,0.009221088770855658
Amber 45,Condo,45 Amber Road · D15,1130,2380001,1.302636,103.901821,Dakota,0.014230991708241837
The Tapestry,Condo / Apt,59 Tampines Street 86 · D18,1485,1680250,1.3534955,103.9291905,Tampines West,0.011976385692270114
Park Colonial,Condo,2 Woodleigh Lane · D13,506,885100,1.3190408,103.8281809,Stevens,0.002418993385694776
The Tapestry,Condo,59 Tampines Street 86 · D18,1485,1680300,1.3534955,103.9291905,Tampines West,0.011976385692270114
Martin Modern,Condo,8 Martin Place · D9,764,2000600,1.293264,103.837861,Fort Canning,0.006996805428907429
Martin Modern,Condo,8 Martin Place · D9,857,2000500,1.293264,103.837861,Fort Canning,0.006996805428907429
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,614,890500,1.3661523,103.872814,Kovan,0.01371927501655056
Parc Botannia,Condo,18 Fernvale Street · D28,969,1216020,1.397794,103.874894,Thanggam,0.0006749851850287206
The Tapestry,Condo,59 Tampines Street 86 · D18,990,850150,1.3534955,103.9291905,Tampines West,0.011976385692270114
